Country,Met coal mined (ttpa),Iron ore mined (ttpa),Met coal consumed by pig iron production (ttpa),Iron ore consumed by pig iron production (ttpa),Iron ore consumed by DRI production (ttpa),Total iron ore consumed by pig iron and DRI production (ttpa),Pig iron produced (ttpa),DRI produced (ttpa)	
Afghanistan,1.140,0,0,unknown,unknown,unknown,unknown,unknown	
Albania,0,0,0,unknown,unknown,unknown,unknown,unknown	
Algeria,0,2.288,1.170,2.400,5.880,8.280,1.500,4.200	
Andorra,0,0,0,unknown,unknown,unknown,unknown,unknown	
Angola,0,450,75,154,0,154,96,0	
Antigua and Barbuda,0,0,0,unknown,unknown,unknown,unknown,unknown	
Argentina,0,0,1.404,2.880,1.540,4.420,1.800,1.100	
Armenia,0,0,0,unknown,unknown,unknown,unknown,unknown	
Australia,233.809,1.014.117,2.184,4.480,0,4.480,2.800,0	
Austria,0,1.440,4.290,8.800,1,8.801,5.500,1	
Azerbaijan,0,585,0,unknown,unknown,unknown,unknown,unknown	
Bahamas,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bahrain,0,0,0,0,2.380,2.380,0,1.700	
Bangladesh,0,0,0,unknown,unknown,unknown,unknown,unknown	
Barbados,0,0,0,unknown,unknown,unknown,unknown,unknown	
Belarus,0,0,0,unknown,unknown,unknown,unknown,unknown	
Belgium,0,0,3.900,8.000,0,8.000,5.000,0	
Belize,0,0,0,unknown,unknown,unknown,unknown,unknown	
Benin,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bhutan,0,23,0,unknown,unknown,unknown,unknown,unknown	
Bolivia,0,450,0,unknown,unknown,unknown,unknown,unknown	
Bosnia and Herzegovina,0,1.400,858,1.760,0,1.760,1.100,0	
Botswana,0,0,0,unknown,unknown,unknown,unknown,unknown	
Brazil,0,432.191,20.670,42.400,0,42.400,26.500,0	
Brunei,0,0,0,unknown,unknown,unknown,unknown,unknown	
Bulgaria,0,0,0,unknown,unknown,unknown,unknown,unknown	
Burkina Faso,0,0,0,unknown,unknown,unknown,unknown,unknown	
Burundi,0,0,0,unknown,unknown,unknown,unknown,unknown	
Cabo Verde,0,0,0,unknown,unknown,unknown,unknown,unknown	
